"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"#FollowFriday (On Demand DVD-R)","Sony Pictures",2017-03-07 00:00:00,"Pending","2.0","LBX, 16:9",20.95,"NR","2016","Thriller","1.85:1","043396499614",2017-03-07 00:00:00,298419,2017-01-26 00:00:00,"0"
"[Dis]Honesty: The Truth About Lies (Director's Edition)","Bond 360",,"Out","2.0","LBX, 16:9",29.95,"NR","2015","Documentary","1.78:1","738329211905",2017-01-24 00:00:00,297146,2017-01-24 00:00:00,"1"
"10-Movie Action Collection: Featuring Steven Seagal","Echo Bridge",2017-04-04 00:00:00,"Pending","2.0","VAR",14.99,"VAR","VAR","Action/Adventure","VAR","096009461942",2017-04-04 00:00:00,298466,2017-01-26 00:00:00,"0"
"10-Movie Western Collection","Echo Bridge",2017-04-04 00:00:00,"Pending","2.0","VAR",14.99,"VAR","VAR","Western","VAR","096009461249",2017-04-04 00:00:00,298430,2017-01-26 00:00:00,"0"
"42 / Malcolm X (1992)","Warner Brothers",,"Out","5.1","LBX, 16:9",12.97,"PG-13","VAR","Drama","VAR","883929551934",2017-01-12 00:00:00,298392,2017-01-24 00:00:00,"0"
"ABC Monsters, Vol. 5: Starring QRSTU","ABC Monsters",,"Out","2.0","4:3",9.99,"NR","UNK","Family","1.33:1","843501007938",2017-01-24 00:00:00,296117,2017-01-24 00:00:00,"1"
"Adventure Time: Islands Miniseries","Warner Brothers",,"Out","2.0","LBX, 16:9",14.97,"NR","2017","Animation","1.78:1","883929573875",2017-01-24 00:00:00,297186,2017-01-24 00:00:00,"1"
"Agatha Christie's Criminal Games","MHz Networks",,"Out","SUB","4:3",39.95,"NR","UNK","Foreign","1.33:1","815047019157",2017-01-24 00:00:00,297548,2017-01-24 00:00:00,"1"
"All Things Valentine (On Demand DVD-R)","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",18.98,"NR","2016","Drama","1.78:1","883476152721",2017-01-24 00:00:00,297671,2017-01-24 00:00:00,"1"
"American Beauty (DreamWorks)","DreamWorks",,"Out","5.1","LBX, 16:9",6.99,"R","1999","Drama","2.35:1","032429256362",2017-01-24 00:00:00,296586,2017-01-24 00:00:00,"1"
"Antarctica: Ice & Sky","Music Box Films",,"Out","2.0","LBX, 16:9",29.95,"NR","2015","Foreign","1.85:1","751778950850",2017-01-24 00:00:00,297320,2017-01-24 00:00:00,"1"
"Appetite For Love (On Demand DVD-R)","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",18.98,"NR","2016","Drama","1.78:1","883476152714",2017-01-24 00:00:00,297690,2017-01-24 00:00:00,"1"
"Arcade Fire: Reflektor Tapes","Eagle Vision",,"Out","5.1","LBX, 16:9",31.98,"NR","UNK","Music","1.78:1","801213079391",2017-01-27 00:00:00,297559,2017-01-24 00:00:00,"1"
"Arcade Fire: Reflektor Tapes (Blu-ray)","Eagle Vision",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",38.98,"NR","UNK","Music","1.78:1","801213356294",2017-01-27 00:00:00,297532,2017-01-24 00:00:00,"1"
"Ardennes","Film Movement",2017-03-07 00:00:00,"Pending","SUB","LBX, 16:9",24.95,"NR","2015","Foreign","2.35:1","857692005994",2017-03-07 00:00:00,298384,2017-01-24 00:00:00,"0"
"Arthur: King Of The Britons","BBC Home Video",2017-03-07 00:00:00,"Pending","2.0","LBX, 16:9",14.97,"NR","2012","Documentary","1.78:1","883929578290",2017-03-07 00:00:00,298395,2017-01-24 00:00:00,"0"
"As Time Goes By: The Complete Series 2","BBC Home Video",2017-03-14 00:00:00,"Pending","2.0","4:3",49.99,"NR","1993","TV Classics","1.33:1","883929569823",2017-03-14 00:00:00,298497,2017-01-29 00:00:00,"0"
"Attack On Titan: Complete Season 1 (Blu-ray)","FUNimation",,"Out","SUB","LBX, 16:9, BLU-RAY",59.98,"MA13","2013","Anime","2.35:1","704400072550",2017-01-24 00:00:00,296617,2017-01-24 00:00:00,"1"
"Audrey Hepburn 5-Film Collection: Roman Holiday / Paris When It Sizzles / Sabrina / Breakfast At Tiffany's / Funny Face","Paramount",,"Out","VAR","VAR",26.99,"VAR","VAR","VAR","VAR","032429261502",2017-01-24 00:00:00,295489,2017-01-24 00:00:00,"1"
"Ava's Impossible Things (Blu-ray/ On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9, BLU-RAY",19.99,"NR","2016","Drama","1.78:1","191091229217",2017-01-24 00:00:00,297444,2017-01-24 00:00:00,"1"
"Ava's Impossible Things (On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9",16.99,"NR","2016","Drama","1.78:1","191091228296",2017-01-24 00:00:00,297422,2017-01-24 00:00:00,"1"
"Barney: Playground Fun","HIT Entertainment",,"Out","2.0","4:3",14.98,"NR","UNK","Family","1.33:1","025192331190",2017-01-24 00:00:00,296804,2017-01-24 00:00:00,"1"
